岗位名称,公司名称,薪资,工作地点,学历,经验,融资情况,公司规模,福利待遇,发布日期,详情页
Python开发工程师,深圳市睿服科技有限公司,1.4-1.8万,深圳-罗湖区,本科,3-4年经验,民营,1000-5000人,五险一金,11-18,https://jobs.51job.com/shenzhen-luohuqu/143863499.html?s=sou_sou_soulb&t=0_0
Python工程师,深圳市悦保科技有限公司,1.2-1.5万,深圳,本科,3-4年经验,民营,50-150人,五险一金 补充医疗保险 员工旅游 绩效奖金 年终奖金 股票期权 弹性工作,12-16,https://jobs.51job.com/shenzhen/143361539.html?s=sou_sou_soulb&t=0_0
Python开发工程师-乐思软件,SZCP直通车项目组1,1-2万·14薪,深圳-南山区,本科,1年经验,,500-1000人,专项奖金 年终奖 法定假日 过节费 带薪年假 房补 五险一金 餐补 提供住宿,11-16,https://jobs.51job.com/shenzhen-nsq/142122258.html?s=sou_sou_soulb&t=0_0
Python开发工程师（实习）,深圳市彼景科技有限公司,3.5-5千,深圳-宝安区,大专,无需经验,民营,,,11-15,https://jobs.51job.com/shenzhen-baq/138710558.html?s=sou_sou_soulb&t=0_0
Python工程师,深圳和润达科技有限公司,2.5-5万·13薪,深圳-光明区,大专,3-4年经验,民营,50-150人,五险一金 员工旅游 专业培训 弹性工作 年终奖金 绩效奖金 包吃包住 包吃住,12-13,https://jobs.51job.com/shenzhen-gmq/142636683.html?s=sou_sou_soulb&t=0_0
Python数据工程师,深圳市正信软件有限公司,1-2万,深圳-南山区,本科,2年经验,民营,,五险一金 员工旅游 年终奖金 弹性工作,12-12,https://jobs.51job.com/shenzhen-nsq/140476183.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市倍通供应链服务有限公司,1-1.5万·13薪,深圳-宝安区,本科,2年经验,民营,150-500人,五险一金 员工旅游 通讯补贴 专业培训 年终奖金 绩效奖金 年终分红 带薪年假 免费体检 节日福利,11-15,https://jobs.51job.com/shenzhen-baq/136654536.html?s=sou_sou_soulb&t=0_0
Python,深圳市安璐家居有限公司,1.2-1.5万,深圳-龙岗区,大专,2年经验,民营,50-150人,五险一金 餐饮补贴 弹性工作,12-12,https://jobs.51job.com/shenzhen-lgq/143086798.html?s=sou_sou_soulb&t=0_0
python-低代码开发,信必优(深圳)信息技术有限公司,1.4-1.7万,深圳-福田区,大专,3-4年经验,外资（欧美）,1000-5000人,朝九晚六 周末双休 五险一金 补充医疗保险 定期体检 年终奖金,11-12,https://jobs.51job.com/shenzhen-ftq/143832239.html?s=sou_sou_soulb&t=0_0
Python应用工程师,慧灵科技（深圳）有限公司,1-1.3万,深圳-宝安区,本科,1年经验,民营,150-500人,绩效奖金 五险一金 员工旅游 出国机会 年终奖金,12-08,https://jobs.51job.com/shenzhen-baq/142109418.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市达博威科技有限公司,1-1.6万,深圳-南山区,本科,2年经验,民营,150-500人,五险一金 下午茶 补充意外险 补充医疗保险 定期体检 员工旅游 绩效奖金,11-11,https://jobs.51job.com/shenzhen-nsq/134539264.html?s=sou_sou_soulb&t=0_0
Python工程师,广州赛意信息科技股份有限公司,1.6-2万,佛山,大专,5-7年经验,已上市,5000-10000人,五险一金 补充医疗保险 专业培训 年终奖金 定期体检 孝心补贴 交通补贴,12-10,https://jobs.51job.com/foshan-sdq/144052725.html?s=sou_sou_soulb&t=0_1
Python开发工程师,业成光电（深圳）有限公司,5千-1万,深圳,本科,1年经验,外资（非欧美）,10000人以上,带薪年假 五险一金 免费班车 绩效奖金 节日福利 加班补贴 定期体检 员工旅游 专业培训,11-11,https://jobs.51job.com/shenzhen/128920507.html?s=sou_sou_soulb&t=0_0
后台开发工程师（python）,埃克斯工业（广东）有限公司,1.8-2.8万,重庆,本科,5-7年经验,民营,150-500人,,11-11,https://jobs.51job.com/chongqing-ybq/143800872.html?s=sou_sou_soulb&t=0_1
python数据分析,深圳度影医疗科技有限公司,1-1.5万,深圳-南山区,大专,1年经验,民营,少于50人,五险一金 年终奖金 绩效奖金 定期体检 带薪年假 员工旅游 专业培训,12-07,https://jobs.51job.com/shenzhen-nsq/136950436.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市联畅信息技术有限公司,1-1.2万,深圳-福田区,本科,2年经验,民营,50-150人,五险一金 员工旅游 年终奖金 周末双休 岗位晋升 节日福利 带薪年假,11-09,https://jobs.51job.com/shenzhen-ftq/119686694.html?s=sou_sou_soulb&t=0_0
Python后端开发工程师（1-3年经验）,卧安科技（深圳）有限公司,1.4-2.5万,深圳-宝安区,本科,1年经验,民营,150-500人,五险一金 绩效奖金 年终奖金 弹性工作 定期体检 周末双休 试用期同薪酬 搬迁补贴 专业培训,11-08,https://jobs.51job.com/shenzhen-baq/132346108.html?s=sou_sou_soulb&t=0_0
Java/Python/C/C++/JS/测试,上海兆殷特科技有限公司,1.5-3万,深圳,本科,无需经验,民营,150-500人,五险一金 年终奖金 弹性工作 核心技术研发 专业培训,12-03,https://jobs.51job.com/shenzhen/144270375.html?s=sou_sou_soulb&t=0_0
C#高级开发工程师（python方向）,深圳前瞻资讯股份有限公司,1.5-2万,深圳-南山区,本科,3-4年经验,民营,150-500人,五险一金 员工旅游 绩效奖金 周末双休 法定节假日 节日福利 年终奖金 专业培训 定期体检,11-07,https://jobs.51job.com/shenzhen-nsq/141722158.html?s=sou_sou_soulb&t=0_0
Python高级开发工程师,上海网杉信息技术有限公司,1.5-3万,深圳-南山区,本科,3-4年经验,民营,150-500人,五险一金 补充医疗保险 定期体检 绩效奖金 年终奖金 弹性工作,11-02,https://jobs.51job.com/shenzhen-nsq/143286594.html?s=sou_sou_soulb&t=0_0
Python开发软件主管,安序源生物科技（深圳）有限公司,3-4万,深圳-南山区,本科,10年以上经验,外资（欧美）,少于50人,五险一金 周末双休 专业培训 年终奖金 绩效奖金 节日福利,11-02,https://jobs.51job.com/shenzhen-nsq/143594457.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市东晟数据有限公司,1.2-2万,深圳-南山区,大专,3-4年经验,民营,50-150人,五险一金 扁平管理 团队气氛佳 福利待遇好 年终奖金,11-01,https://jobs.51job.com/shenzhen-nsq/139345904.html?s=sou_sou_soulb&t=0_0
Python开发工程师（自动化测试方向）,深圳达实物联网技术有限公司,1.5-3万,深圳-南山区,大专,2年经验,已上市,500-1000人,五险一金 员工旅游 股票期权 绩效奖金 专业培训 定期体检 弹性工作,10-31,https://jobs.51job.com/shenzhen-nsq/128482674.html?s=sou_sou_soulb&t=0_0
Python开发实习生6K起,上海裴宇网络服务有限公司,6-8千,深圳-南山区,大专,无需经验,民营,50-150人,,10-28,https://jobs.51job.com/shenzhen-nsq/140024914.html?s=sou_sou_soulb&t=0_0
Python后端研发工程师(J10814),广州嘉为科技有限公司,1-2万,深圳-福田区,本科,2年经验,民营,500-1000人,,11-19,https://jobs.51job.com/shenzhen-ftq/144009325.html?s=sou_sou_soulb&t=0_0
C/C++/Java/Python开发工程师,上海兆殷特科技有限公司,1.5-3万,杭州,本科,无需经验,民营,150-500人,,10-23,https://jobs.51job.com/hangzhou/142659636.html?s=sou_sou_soulb&t=0_1
Python开发工程师,富满微电子集团股份有限公司,1-1.6万,深圳-宝安区,大专,3-4年经验,已上市,500-1000人,五险一金 员工旅游 员工宿舍 带薪年假 绩效奖金 节日福利 通讯补贴,10-21,https://jobs.51job.com/shenzhen-baq/137208833.html?s=sou_sou_soulb&t=0_0
Python爬虫工程师 跨境电商,深圳市宝视佳科技有限公司,1-1.8万,深圳-龙华区,大专,1年经验,民营,1000-5000人,节日福利 全勤奖 绩效奖金 员工旅游 生日活动 带薪年假,11-15,https://jobs.51job.com/shenzhen-lhq/143269168.html?s=sou_sou_soulb&t=0_0
Python爬虫工程师,深圳市中海通物流股份有限公司,1-2万,深圳,本科,2年经验,民营,150-500人,,11-08,https://jobs.51job.com/shenzhen/143756108.html?s=sou_sou_soulb&t=0_0
Python开发工程师,上海兆殷特科技有限公司,1.4-2.8万,深圳,本科,无需经验,民营,150-500人,,10-23,https://jobs.51job.com/shenzhen/138904376.html?s=sou_sou_soulb&t=0_0
Python工程师,深圳市宝锋华诚科技有限公司,8千-1.5万,深圳-南山区,本科,1年经验,民营,少于50人,交通补贴 餐饮补贴 通讯补贴 年终奖金 股票期权 弹性工作 周末双休,11-07,https://jobs.51job.com/shenzhen-nsq/141932057.html?s=sou_sou_soulb&t=0_0
Python算法应用工程师 (MJ000598),深圳思谋信息科技有限公司,2-3万·15薪,深圳-南山区,本科,无需经验,外资（非欧美）,500-1000人,五险一金 绩效奖金 年终奖金 定期体检 专业培训,11-07,https://jobs.51job.com/shenzhen-nsq/140643508.html?s=sou_sou_soulb&t=0_0
Python爬虫工程师,深圳市亚声威格科技有限公司,1.2-2万,深圳,本科,3-4年经验,民营,150-500人,五险一金 绩效奖金 定期体检 员工旅游 年终奖金,11-06,https://jobs.51job.com/shenzhen/143662305.html?s=sou_sou_soulb&t=0_0
Python实习生/提供住宿,深圳市铭凯达网络科技有限公司,8千-1万,深圳-宝安区,本科,1年经验,民营,50-150人,五险一金 年终奖金 员工旅游 定期体检 周末双休 朝九晚六 节日福利,10-31,https://jobs.51job.com/shenzhen-baq/138000030.html?s=sou_sou_soulb&t=0_0
Python爬虫,四川西南联盛通讯技术有限公司深圳市分公司,1.1-1.5万,深圳-南山区,大专,3-4年经验,民营,1000-5000人,五险一金 专业培训 定期体检,10-30,https://jobs.51job.com/shenzhen-nsq/143499757.html?s=sou_sou_soulb&t=0_0
